timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-02-07,68.07,69.835,67.97,69.67,69.67,1218916,0.0000,1.0
2023-02-06,66.85,68.375,66.7,68.31,68.31,1476255,0.0000,1.0
2023-02-03,66.92,67.34,65.93,66.87,66.87,2088767,0.0000,1.0
2023-02-02,68.93,68.93,66.235,66.59,66.59,3197833,0.0000,1.0
2023-02-01,69.17,69.6,68.44,69.08,69.08,1287789,0.0000,1.0
2023-01-31,70.01,70.18,69.125,70.14,70.14,1118628,0.0000,1.0
2023-01-30,69.7,70.17,69.0,69.78,69.78,2455870,0.0000,1.0
2023-01-27,71.5,71.84,68.985,69.22,69.22,1658716,0.0000,1.0
2023-01-26,71.47,71.825,70.94,71.32,71.32,965290,0.0000,1.0
2023-01-25,70.7,71.62,70.54,71.42,71.42,825331,0.0000,1.0
2023-01-24,70.33,75.53,69.48,70.78,70.78,1043700,0.0000,1.0
2023-01-23,70.12,70.65,69.74,70.33,70.33,953816,0.0000,1.0
2023-01-20,69.98,70.005,68.23,69.92,69.92,1893503,0.0000,1.0
2023-01-19,70.86,71.03,69.7,69.8,69.8,1262163,0.0000,1.0
2023-01-18,71.71,71.85,70.92,71.0,71.0,1519702,0.0000,1.0
2023-01-17,73.36,73.36,71.28,71.81,71.81,1064656,0.0000,1.0
2023-01-13,72.7,73.54,72.31,73.36,73.36,754484,0.0000,1.0
2023-01-12,72.7,73.49,72.14,73.03,73.03,1067949,0.5000,1.0
2023-01-11,73.29,73.595,72.63,72.96,72.4638759689922,900835,0.0000,1.0
2023-01-10,73.41,73.86,72.81,73.35,72.8512239902081,804933,0.0000,1.0
2023-01-09,74.29,74.38,72.59,72.98,72.4837399700803,1298028,0.0000,1.0
2023-01-06,72.56,74.46,72.32,74.29,73.7848320413437,1230210,0.0000,1.0
2023-01-05,72.29,72.685,71.2903,71.88,71.3912199102407,1586609,0.0000,1.0
2023-01-04,72.85,73.29,72.02,72.34,71.8480919352645,1568259,0.0000,1.0
2023-01-03,72.47,72.92,71.435,72.58,72.0864599483204,1159589,0.0000,1.0
2022-12-30,72.94,73.23,71.91,72.57,72.0765279477764,924095,0.0000,1.0
2022-12-29,73.07,73.87,72.71,73.24,72.7419719842241,568327,0.0000,1.0
2022-12-28,74.22,74.2589,72.79,72.8,72.3049639602883,553683,0.0000,1.0
2022-12-27,73.63,74.3,73.25,73.91,73.4074160206718,905884,0.0000,1.0
2022-12-23,73.06,73.56,72.775,73.45,72.950543995648,642734,0.0000,1.0
2022-12-22,73.8,74.235,72.14,72.98,72.4837399700803,1113006,0.0000,1.0
2022-12-21,73.49,73.96,72.98,73.87,73.3676880184959,1574217,0.0000,1.0
2022-12-20,72.02,73.09,71.94,72.87,72.3744879640963,1082685,0.0000,1.0
2022-12-19,72.09,72.84,70.865,71.53,71.0435998912009,1177248,0.0000,1.0
