timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-02-08,33.07,33.26,32.74,32.9,32.9,2791602,0.0000,1.0
2023-02-07,33.81,34.0,33.04,33.43,33.43,3305560,0.0000,1.0
2023-02-06,34.47,34.65,33.955,34.16,34.16,1979036,0.0000,1.0
2023-02-03,35.25,35.56,34.83,34.89,34.89,2393884,0.0000,1.0
2023-02-02,34.51,36.0979,34.51,35.47,35.47,5042977,0.0000,1.0
2023-02-01,33.29,34.705,32.83,34.27,34.27,10758019,0.0000,1.0
2023-01-31,38.06,39.3,37.93,39.24,39.24,3248357,0.0000,1.0
2023-01-30,37.61,38.1,37.34,37.4,37.4,2398599,0.0000,1.0
2023-01-27,38.1,38.46,37.91,38.02,38.02,932443,0.0000,1.0
2023-01-26,36.81,38.12,36.81,38.05,38.05,1450961,0.0000,1.0
2023-01-25,36.18,36.68,35.88,36.68,36.68,1252480,0.0000,1.0
2023-01-24,36.95,37.06,36.1262,36.51,36.51,1107847,0.0000,1.0
2023-01-23,37.22,37.33,36.725,36.99,36.99,1898430,0.0000,1.0
2023-01-20,36.59,37.201,36.11,37.14,37.14,1334087,0.0000,1.0
2023-01-19,36.0,36.54,35.83,36.45,36.45,1459073,0.0000,1.0
2023-01-18,37.23,37.35,36.34,36.37,36.37,1390690,0.0000,1.0
2023-01-17,37.61,37.78,36.79,37.1,37.1,1319635,0.0000,1.0
2023-01-13,36.98,37.58,36.85,37.57,37.57,862560,0.0000,1.0
2023-01-12,37.17,37.53,36.76,37.38,37.38,1387014,0.0000,1.0
2023-01-11,36.92,36.955,36.545,36.9,36.9,1274007,0.0000,1.0
2023-01-10,36.55,36.77,35.98,36.71,36.71,1460827,0.0000,1.0
2023-01-09,37.09,37.81,36.495,36.65,36.65,3345233,0.0000,1.0
2023-01-06,35.8,36.89,35.58,36.73,36.73,2462921,0.0000,1.0
2023-01-05,35.95,36.14,35.26,35.39,35.39,1356314,0.0000,1.0
