timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-02-08,38.37,38.44,37.84,38.0,38.0,1292487,0.0000,1.0
2023-02-07,37.84,38.73,37.55,38.64,38.64,2200073,0.0000,1.0
2023-02-06,38.1,38.69,37.93,38.09,38.09,1366665,0.0000,1.0
2023-02-03,39.17,39.49,38.26,38.44,38.44,1525744,0.0000,1.0
2023-02-02,38.02,39.73,37.99,39.66,39.66,2232768,0.0000,1.0
2023-02-01,36.79,37.665,36.71,37.48,37.48,1648939,0.0000,1.0
2023-01-31,36.53,37.01,36.31,36.83,36.83,2124947,0.0000,1.0
2023-01-30,36.62,36.81,36.35,36.53,36.53,1346287,0.0000,1.0
2023-01-27,36.65,37.215,36.33,37.0,37.0,2280937,0.0000,1.0
2023-01-26,36.74,36.93,36.33,36.86,36.86,1494842,0.0000,1.0
2023-01-25,35.69,36.59,35.69,36.59,36.59,1797024,0.0000,1.0
2023-01-24,37.04,37.19,35.64,35.89,35.89,2067623,0.0000,1.0
2023-01-23,37.05,37.81,37.05,37.41,37.41,1644772,0.0000,1.0
2023-01-20,36.65,37.045,36.49,36.97,36.97,1493697,0.0000,1.0
2023-01-19,36.66,37.025,36.125,36.62,36.62,2011273,0.0000,1.0
2023-01-18,36.92,37.715,36.8,36.92,36.92,1982795,0.0000,1.0
2023-01-17,36.505,36.95,36.14,36.82,36.82,1470314,0.0000,1.0
2023-01-13,35.75,36.75,35.75,36.55,36.55,1967088,0.0000,1.0
2023-01-12,35.66,36.1,35.0,36.0,36.0,3225915,0.0000,1.0
2023-01-11,33.75,35.2,33.52,35.11,35.11,2738103,0.0000,1.0
2023-01-10,32.82,33.51,32.51,33.32,33.32,1356358,0.0000,1.0
2023-01-09,33.18,33.69,32.93,32.99,32.99,1468905,0.0000,1.0
2023-01-06,33.37,33.62,32.64,33.43,33.43,2058663,0.0000,1.0
2023-01-05,33.49,33.54,32.6,33.09,33.09,4455688,0.0000,1.0
2023-01-04,33.22,34.035,32.93,33.78,33.78,3697845,0.0000,1.0
2023-01-03,32.02,33.81,31.58,32.69,32.69,1653790,0.0000,1.0
2022-12-30,31.96,32.35,31.48,31.84,31.84,1352951,0.0000,1.0
2022-12-29,31.06,32.56,30.84,32.28,32.28,1139467,0.1250,1.0
2022-12-28,32.19,32.28,30.965,30.98,30.8604968369079,1430535,0.0000,1.0
2022-12-27,31.93,32.17,31.47,32.07,31.946292238852,998778,0.0000,1.0
2022-12-23,31.31,31.875,31.24,31.83,31.7072180219102,1266821,0.0000,1.0
2022-12-22,31.16,31.5,30.615,31.48,31.3585681222034,1811829,0.0000,1.0
2022-12-21,31.21,31.45,31.13,31.33,31.2091467366147,1562045,0.0000,1.0
2022-12-20,30.46,31.1,30.07,30.88,30.7608825798488,2248643,0.0000,1.0
2022-12-19,30.37,30.63,30.05,30.6,30.4819626600833,1454269,0.0000,1.0
2022-12-16,31.04,31.44,30.07,30.52,30.402271254436,4950288,0.0000,1.0
2022-12-15,31.5,31.93,31.205,31.26,31.1394167566734,2186535,0.0000,1.0
2022-12-14,31.49,32.14,31.07,32.05,31.9263693874402,2730625,0.0000,1.0
2022-12-13,31.63,31.83,31.17,31.66,31.5378737849097,2244394,0.0000,1.0
2022-12-12,30.31,30.59,29.86,30.52,30.402271254436,1416657,0.0000,1.0
2022-12-09,30.08,30.63,30.03,30.26,30.1432741860824,1185564,0.0000,1.0
2022-12-08,29.79,30.53,29.625,30.28,30.1631970374942,1354407,0.0000,1.0
2022-12-07,30.17,30.72,29.47,29.76,29.6452029007869,1545408,0.0000,1.0
2022-12-06,30.53,30.88,29.87,30.11,29.9938528004937,1531179,0.0000,1.0
2022-12-05,31.58,31.58,30.395,30.62,30.5018855114951,1595915,0.0000,1.0
2022-12-02,30.94,31.74,30.831,31.68,31.5577966363216,1483618,0.0000,1.0
2022-12-01,30.42,31.5,30.415,31.44,31.3187224193797,2863348,0.0000,1.0
2022-11-30,30.04,30.32,28.71,30.26,30.1432741860824,3719763,0.0000,1.0
2022-11-29,30.37,30.84,30.08,30.21,30.0934670575528,1383598,0.0000,1.0
2022-11-28,31.22,31.28,30.29,30.46,30.3425027002006,2253845,0.0000,1.0
2022-11-25,30.93,31.565,30.68,31.48,31.3585681222034,614324,0.0000,1.0
2022-11-23,30.36,31.14,30.23,30.98,30.8604968369079,1435443,0.0000,1.0
2022-11-22,30.61,30.8,30.03,30.37,30.2528498688474,2033217,0.0000,1.0
2022-11-21,30.88,31.09,30.335,30.6,30.4819626600833,1761742,0.0000,1.0
2022-11-18,31.25,31.465,30.875,31.13,31.0099182224965,1962671,0.0000,1.0
2022-11-17,30.0,30.72,29.735,30.69,30.5716154914365,2576532,0.0000,1.0
2022-11-16,31.35,31.81,30.36,30.6,30.4819626600833,2915322,0.0000,1.0
2022-11-15,30.25,31.99,30.25,31.34,31.2191081623206,3291635,0.0000,1.0
2022-11-14,29.29,31.8,28.76,30.35,30.2329270174356,5199508,0.0000,1.0
2022-11-11,30.63,32.275,30.33,32.05,31.9263693874402,4094448,0.0000,1.0
2022-11-10,29.97,30.525,29.78,30.28,30.1631970374942,3144392,0.0000,1.0
2022-11-09,27.95,29.06,27.635,28.74,28.6291374787841,2582800,0.0000,1.0
2022-11-08,28.04,28.715,27.615,28.08,27.9716833821941,3147179,0.0000,1.0
2022-11-07,27.28,28.22,27.28,28.03,27.9218762536646,2323811,0.0000,1.0
2022-11-04,27.14,27.65,26.745,27.15,27.0452707915445,2786618,0.0000,1.0
