timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-02-08,127.42,131.5,127.42,131.42,131.42,3574082,0.0000,1.0
2023-02-07,128.59,129.57,127.11,129.34,129.34,1652586,0.0000,1.0
2023-02-06,126.9,129.14,126.49,129.06,129.06,2063856,0.0000,1.0
2023-02-03,127.56,127.875,126.16,127.01,127.01,1474684,0.0000,1.0
2023-02-02,129.21,129.615,127.33,128.21,128.21,1333849,0.0000,1.0
2023-02-01,130.13,130.59,128.19,129.01,129.01,1716296,0.0000,1.0
2023-01-31,129.42,130.56,128.62,130.51,130.51,2076525,0.0000,1.0
2023-01-30,127.96,129.31,127.9,129.04,129.04,1456987,0.0000,1.0
2023-01-27,129.01,129.04,127.52,128.13,128.13,1407488,0.0000,1.0
2023-01-26,129.58,129.99,128.3,129.04,129.04,1358387,0.0000,1.0
2023-01-25,128.04,129.2,126.49,129.2,129.2,1425693,0.0000,1.0
2023-01-24,126.25,128.68,126.04,128.51,128.51,1543733,0.0000,1.0
2023-01-23,126.99,127.57,126.14,126.67,126.67,1437342,0.0000,1.0
2023-01-20,126.54,127.21,125.89,126.63,126.63,1649775,0.0000,1.0
2023-01-19,128.33,128.49,125.97,126.05,126.05,1473660,0.0000,1.0
2023-01-18,130.89,131.37,128.38,128.72,128.72,1325078,0.0000,1.0
2023-01-17,130.59,131.58,129.77,130.33,130.33,1177837,0.0000,1.0
2023-01-13,128.17,130.29,128.14,130.22,130.22,1260513,0.0000,1.0
2023-01-12,129.69,129.87,128.75,128.89,128.89,1070285,0.0000,1.0
2023-01-11,129.62,130.5,128.99,129.69,129.69,1258298,0.0000,1.0
2023-01-10,129.81,130.35,128.19,129.4,129.4,1306825,0.0000,1.0
2023-01-09,130.69,131.25,129.47,129.76,129.76,1211197,0.0000,1.0
2023-01-06,128.38,130.7,127.84,130.29,130.29,1559451,0.0000,1.0
2023-01-05,128.27,128.56,126.78,127.7,127.7,1078215,0.0000,1.0
2023-01-04,127.65,129.22,127.34,128.68,128.68,1139399,0.0000,1.0
2023-01-03,128.42,128.84,125.85,126.96,126.96,2307092,0.0000,1.0
2022-12-30,129.61,129.61,127.345,128.08,128.08,1401328,0.0000,1.0
2022-12-29,129.55,130.73,128.85,129.99,129.99,875942,0.0000,1.0
2022-12-28,130.19,130.86,129.28,129.31,129.31,964755,0.0000,1.0
2022-12-27,129.3,130.15,128.64,129.9,129.9,1300195,0.0000,1.0
2022-12-23,128.43,129.21,127.84,128.9,128.9,700757,0.0000,1.0
2022-12-22,128.5,128.85,127.1,128.82,128.82,1371935,0.0000,1.0
2022-12-21,128.13,129.82,127.73,128.78,128.78,1994861,0.0000,1.0
2022-12-20,128.52,128.71,127.41,128.59,128.59,1211928,0.0000,1.0
2022-12-19,129.11,129.755,127.74,128.38,128.38,2325688,0.0000,1.0
2022-12-16,130.83,131.91,128.4,129.37,129.37,4263531,0.0000,1.0
2022-12-15,130.46,130.925,129.535,130.45,130.45,1981571,0.0000,1.0
2022-12-14,130.5,131.63,129.39,131.22,131.22,1602551,0.0000,1.0
2022-12-13,131.77,132.24,129.17,130.15,130.15,1821775,0.0000,1.0
2022-12-12,127.72,129.73,126.96,129.64,129.64,1361749,0.0000,1.0
2022-12-09,129.84,130.29,127.63,127.71,127.71,1833833,0.0000,1.0
2022-12-08,128.91,129.875,128.42,129.85,129.85,1500045,0.0000,1.0
2022-12-07,130.49,131.2,127.915,128.27,128.27,2085569,0.0000,1.0
2022-12-06,131.19,131.38,129.89,130.62,130.62,1544371,0.0000,1.0
2022-12-05,130.115,131.07,129.06,130.91,130.91,2878812,0.0000,1.0
2022-12-02,128.31,130.285,128.02,129.68,129.68,1586851,0.0000,1.0
2022-12-01,129.0,129.99,128.53,129.19,129.19,1407126,0.0000,1.0
2022-11-30,126.33,128.96,126.05,128.66,128.66,2543195,0.0000,1.0
2022-11-29,126.08,126.8,125.51,126.04,126.04,2324040,0.0000,1.0
2022-11-28,126.28,127.07,126.045,126.45,126.45,1514916,0.0000,1.0
2022-11-25,125.86,127.5,125.385,126.53,126.53,870561,0.0000,1.0
2022-11-23,125.6,126.12,124.38,125.93,125.93,1880958,0.5700,1.0
2022-11-22,124.45,125.325,124.08,124.94,124.377029249012,1506965,0.0000,1.0
2022-11-21,124.74,124.77,122.74,124.02,123.461174703557,1621005,0.0000,1.0
2022-11-18,124.23,125.38,123.12,124.61,124.048516205534,2985402,0.0000,1.0
2022-11-17,122.85,123.6,121.85,122.77,122.216807114625,2132929,0.0000,1.0
2022-11-16,123.37,125.455,123.37,123.96,123.401445059289,2256764,0.0000,1.0
2022-11-15,123.38,124.29,122.57,123.31,122.754373913043,1139399,0.0000,1.0
2022-11-14,123.48,124.41,122.55,122.6,122.04757312253,1677638,0.0000,1.0
2022-11-11,124.78,124.78,122.81,123.33,122.774283794466,1870258,0.0000,1.0
2022-11-10,124.9,124.96,123.21,124.13,123.570679051383,2710209,0.0000,1.0
2022-11-09,121.94,122.93,121.43,122.05,121.500051383399,1449977,0.0000,1.0
2022-11-08,122.65,123.08,121.695,122.38,121.828564426877,1885341,0.0000,1.0
2022-11-07,121.5,123.49,121.5,122.51,121.957978656126,1912605,0.0000,1.0
2022-11-04,121.15,122.42,120.25,121.78,121.23126798419,2850124,0.0000,1.0
2022-11-03,116.95,120.64,116.19,119.5,118.961541501976,2546366,0.0000,1.0
2022-11-02,120.2,120.276,116.7186,117.37,116.841139130435,2543808,0.0000,1.0
2022-11-01,119.01,119.36,117.52,118.15,117.617624505929,2361642,0.0000,1.0
2022-10-31,117.58,119.46,116.4,118.25,117.717173913043,2193622,0.0000,1.0
2022-10-28,114.13,118.56,114.095,117.88,117.348841106719,2460751,0.0000,1.0
2022-10-27,113.56,114.59,112.88,113.91,113.396729644269,2265781,0.0000,1.0
2022-10-26,111.74,114.04,111.42,112.27,111.764119367589,1412180,0.0000,1.0
2022-10-25,109.17,111.69,108.01,111.24,110.738760474308,2326570,0.0000,1.0
2022-10-24,110.96,111.085,107.7,108.77,108.279890118577,2688034,0.0000,1.0
2022-10-21,109.44,111.4,108.77,111.03,110.529706719368,1735748,0.0000,1.0
