timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-02-08,130.18,131.61,130.03,130.76,130.76,1211076,0.0000,1.0
2023-02-07,127.51,131.5,127.48,130.94,130.94,1739121,0.0000,1.0
2023-02-06,129.0,129.39,127.55,128.52,128.52,1541378,0.0000,1.0
2023-02-03,127.61,132.28,126.02,129.45,129.45,2854132,0.0000,1.0
2023-02-02,128.59,128.83,126.33,127.41,127.41,3509686,0.0000,1.0
2023-02-01,128.52,129.89,125.65,127.8,127.8,2453622,0.0000,1.0
2023-01-31,126.09,127.36,125.16,127.34,127.34,1233792,0.0000,1.0
2023-01-30,125.41,126.11,125.18,125.83,125.83,2090691,0.0000,1.0
2023-01-27,125.5,126.56,124.04,125.88,125.88,1386652,0.0000,1.0
2023-01-26,125.38,126.22,125.1,125.5,125.5,1208524,0.0000,1.0
2023-01-25,124.03,125.58,123.65,124.9,124.9,1222455,0.0000,1.0
2023-01-24,125.94,126.275,124.66,125.48,125.48,1358300,0.0000,1.0
2023-01-23,124.99,127.16,124.99,125.94,125.94,2299750,0.0000,1.0
2023-01-20,122.62,124.62,121.82,124.09,124.09,1736455,0.0000,1.0
2023-01-19,121.45,122.495,120.29,121.95,121.95,1324885,0.0000,1.0
2023-01-18,123.14,123.85,121.975,122.08,122.08,1483318,0.0000,1.0
2023-01-17,123.35,123.375,122.41,123.01,123.01,2093361,0.0000,1.0
2023-01-13,122.95,123.71,122.04,123.38,123.38,1674123,0.0000,1.0
2023-01-12,124.63,124.68,121.87,123.2,123.2,1890568,0.0000,1.0
2023-01-11,126.03,126.29,123.06,124.32,124.32,2448268,0.0000,1.0
2023-01-10,125.8,126.4541,124.48,125.5,125.5,1894247,0.0000,1.0
2023-01-09,128.07,128.6706,125.71,126.05,126.05,1423625,0.0000,1.0
2023-01-06,126.15,127.21,122.71,125.7,125.7,2348886,0.0000,1.0
2023-01-05,129.04,130.08,125.72,126.08,126.08,2238303,0.0000,1.0
2023-01-04,128.52,129.36,127.51,128.46,128.46,1389410,0.0000,1.0
2023-01-03,127.41,128.88,126.2055,127.28,127.28,921108,0.0000,1.0
2022-12-30,127.15,127.73,126.21,127.5,127.5,785218,0.0000,1.0
2022-12-29,126.66,128.5,126.14,127.83,127.83,686569,0.0000,1.0
2022-12-28,127.44,128.52,125.78,125.99,125.99,750108,0.0000,1.0
2022-12-27,127.0,127.79,126.17,127.28,127.28,755574,0.0000,1.0
2022-12-23,125.94,126.77,125.24,126.69,126.69,789770,0.2400,1.0
2022-12-22,126.45,126.82,124.88,126.79,126.550264712834,807114,0.0000,1.0
2022-12-21,126.49,127.11,126.04,127.08,126.839716379107,934832,0.0000,1.0
2022-12-20,124.96,126.29,124.22,125.43,125.192836208934,1038838,0.0000,1.0
2022-12-19,125.33,125.58,124.29,124.96,124.723724887733,943390,0.0000,1.0
2022-12-16,125.99,126.68,123.705,125.58,125.342552588041,2710628,0.0000,1.0
2022-12-15,126.55,127.47,125.96,127.02,126.779829827464,1694916,0.0000,1.0
2022-12-14,128.17,130.835,127.115,128.24,127.997523044198,1506520,0.0000,1.0
2022-12-13,128.97,129.96,127.35,128.43,128.187163791066,2055559,0.0000,1.0
2022-12-12,124.37,126.1975,123.67,126.13,125.891512644765,1737017,0.0000,1.0
2022-12-09,125.17,126.32,124.34,124.4,124.164783739069,1449246,0.0000,1.0
2022-12-08,124.76,127.25,124.05,125.84,125.602060978492,1814124,0.0000,1.0
2022-12-07,121.92,124.22,121.77,124.19,123.95518080832,1809977,0.0000,1.0
2022-12-06,121.77,121.93,120.35,121.39,121.160475064996,1922575,0.0000,1.0
2022-12-05,121.93,122.88,120.795,122.28,122.048792247696,1066334,0.0000,1.0
2022-12-02,122.06,123.52,121.99,122.97,122.737487591586,723160,0.0000,1.0
2022-12-01,120.99,123.78,120.72,123.35,123.116769085323,1433448,0.0000,1.0
2022-11-30,119.48,120.14,117.54,120.1,119.87291420468,1217155,0.0000,1.0
2022-11-29,117.16,119.325,116.85,119.0,118.774994091231,983487,0.0000,1.0
2022-11-28,118.14,119.26,117.2,117.67,117.447508863153,1207617,0.0000,1.0
2022-11-25,118.45,119.545,118.3211,119.21,118.984597021981,427925,0.0000,1.0
2022-11-23,116.37,118.19,116.27,118.01,117.786865989128,1243093,0.0000,1.0
2022-11-22,114.52,115.46,113.26,115.33,115.11193334909,834218,0.0000,1.0
2022-11-21,113.42,114.795,113.27,114.53,114.313445993855,655432,0.0000,1.0
2022-11-18,113.61,114.51,112.44,114.09,113.874277948476,770464,0.0000,1.0
2022-11-17,112.75,113.47,111.77,112.12,111.908002836209,1124360,0.0000,1.0
2022-11-16,115.16,115.59,113.97,114.46,114.243578350272,938145,0.0000,1.0
2022-11-15,114.76,115.64,113.39,115.12,114.902330418341,1013604,0.0000,1.0
2022-11-14,114.8,115.82,113.28,113.31,113.095752777121,1175678,0.0000,1.0
2022-11-11,113.54,115.97,113.085,115.56,115.34149846372,1562183,0.0000,1.0
2022-11-10,109.38,113.13,109.38,112.9,112.686528007563,989431,0.0000,1.0
2022-11-09,105.61,107.3185,105.0,105.77,105.57000945403,1454532,0.0000,1.0
2022-11-08,107.28,108.285,105.442,106.23,106.02913968329,927829,0.0000,1.0
2022-11-07,105.56,107.57,105.36,107.53,107.326681635547,1321556,0.0000,1.0
2022-11-04,106.61,107.5,103.75,104.85,104.651748995509,1734134,0.0000,1.0
2022-11-03,106.29,106.705,103.79,105.42,105.220671236114,1321199,0.0000,1.0
2022-11-02,114.99,115.25,107.62,107.69,107.486379106594,2487440,0.0000,1.0
2022-11-01,113.66,113.66,109.77,111.84,111.628532261877,2429782,0.0000,1.0
2022-10-31,113.4,113.6,112.35,113.35,113.135677144883,1229284,0.0000,1.0
2022-10-28,112.08,113.64,111.87,113.47,113.255450248168,1209308,0.0000,1.0
2022-10-27,113.0,113.0,111.0,111.56,111.349061687544,1051396,0.0000,1.0
2022-10-26,111.54,113.74,111.36,112.27,112.057719215316,902161,0.0000,1.0
2022-10-25,109.27,111.0,109.11,110.73,110.520631056488,1231413,0.0000,1.0
2022-10-24,108.55,109.14,107.433,109.03,108.823845426613,778966,0.0000,1.0
2022-10-21,105.93,107.7,102.6,107.39,107.186946348381,1116829,0.0000,1.0
